id_application,id_posting,id_resume_outcome,callback,heightrequired,jobgenderoptions,,photo_gender,photo_num,photo,avg_rating,share_num6p,share_num5p,share_num4p,attract_top25,attract_top50,attract_top75,attract_top90,attract_top10,attract_above4_p50,attract_above4_p75,_weight,_height_ft,_height_in,,MenAttBins,MCBs,Photos,Rating,,WomenAttBins,WCBs,Photos,Rating,,,solonum,solorat,sologen,,,,,,,,
89,23,1,1,0,Both Male & Female,,Male,21,53,4.0816326,0.12244898,0.34693879,0.77551019,1,1,1,1,1,1,1,57,5,,,,,,,,,,,,,,,,,,,,,,,,
173,44,1,1,0,Both Male & Female,,Female,15,15,2.4693878,0,0.06122449,0.20408164,0,0,0,0,0,0,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
129,33,1,1,0,Both Male & Female,,Male,12,44,2.8163266,0,0.081632651,0.20408164,0,0,1,1,0,0,0,59,5,,,,,,,,,,,,,,,,,,,,,,,,
527,132,3,0,0,Both Male & Female,,Female,24,24,3.3265307,0.020408163,0.1632653,0.42857143,0,1,1,1,0,0,0,52,5,,,,,,,,,,,,,,,,,,,,,,,,
6599,"1,650",3,0,0,Both Male & Female,,Male,15,47,3.3265307,0,0.18367347,0.44897959,0,1,1,1,0,0,0,62,5,6,,,,,,,,,,,,,,,,,,,,,,,
46,12,2,1,0,Both Male & Female,,Female,15,15,2.4693878,0,0.06122449,0.20408164,0,0,0,0,0,0,0,50,5,,,,,,,,,,,,,,,,,,,,,,,,
169,43,1,0,0,Both Male & Female,,Female,28,28,2.8163266,0,0.06122449,0.26530612,0,0,0,1,0,0,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
178,45,2,1,0,Both Male & Female,,Male,25,57,2.6938775,0,0.081632651,0.18367347,0,0,0,1,0,0,0,65,5,,,,,,,,,,,,,,,,,,,,,,,,
158,40,2,1,0,Both Male & Female,,Male,21,53,4.0816326,0.12244898,0.34693879,0.77551019,1,1,1,1,1,1,1,65,5,,,,,,,,,,,,,,,,,,,,,,,,
602,151,2,1,0,Both Male & Female,,Female,24,24,3.3265307,0.020408163,0.1632653,0.42857143,0,1,1,1,0,0,0,52,5,,,,,,,,,,,,,,,,,,,,,,,,
6616,"1,654",4,0,0,Both Male & Female,,Female,31,31,2.9387755,0,0.081632651,0.22448979,0,0,1,1,0,0,0,45,5,2,,,,,,,,,,,,,,,,,,,,,,,
109,28,1,1,0,Both Male & Female,,Female,27,27,3.1020408,0,0.081632651,0.32653061,0,0,1,1,0,0,0,47,5,,,,,,,,,,,,,,,,,,,,,,,,
4272,"1,068",4,1,0,Both Male & Female,,Male,7,39,2.8367348,0,0.10204082,0.26530612,0,0,1,1,0,0,0,62,5,,,,,,,,,,,,,,,,,,,,,,,,
39,10,3,1,0,Both Male & Female,,Male,26,58,2.5714285,0.020408163,0.12244898,0.20408164,0,0,0,0,0,0,0,57,5,,,,,,,,,,,,,,,,,,,,,,,,
6137,"1,535",1,0,0,Both Male & Female,,Male,31,63,2.7551022,0,0.020408163,0.26530612,0,0,1,1,0,0,0,65,5,,,,,,,,,,,,,,,,,,,,,,,,
159,40,3,1,0,Both Male & Female,,Female,13,13,4.0408163,0.06122449,0.42857143,0.75510204,1,1,1,1,0,1,1,48,5,,,,,,,,,,,,,,,,,,,,,,,,
